region,crop,coverage,missing
경기도 수원시 장안구,배,87.0,"['EC', 'pH']"
경기도 수원시 장안구,감자,89.0,['EC']
경기도 수원시 장안구,상추,84.0,['EC']
경기도 수원시 권선구,오이,78.0,['EC']
경기도 수원시 권선구,배,92.0,['EC']
경기도 수원시 권선구,감자,89.0,['EC']
경기도 수원시 권선구,상추,84.0,['EC']
경기도 수원시 팔달구,오이,65.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 수원시 팔달구,배,80.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 수원시 팔달구,감자,89.0,['EC']
경기도 수원시 팔달구,상추,84.0,['EC']
경기도 수원시 영통구,오이,75.0,"['EC', '유기물']"
경기도 수원시 영통구,배,92.0,['EC']
경기도 수원시 영통구,감자,89.0,['EC']
경기도 수원시 영통구,상추,84.0,['EC']
경기도 안산시 상록구,오이,78.0,['EC']
경기도 안산시 상록구,배,92.0,['EC']
경기도 안산시 상록구,감자,89.0,['EC']
경기도 안산시 상록구,상추,84.0,['EC']
경기도 안산시 단원구,오이,78.0,['EC']
경기도 안산시 단원구,배,92.0,['EC']
경기도 안산시 단원구,감자,89.0,['EC']
경기도 안산시 단원구,상추,84.0,['EC']
경기도 안양시 만안구,오이,65.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 안양시 만안구,배,80.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 안양시 만안구,감자,75.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 안양시 만안구,상추,70.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 안양시 동안구,오이,65.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 안양시 동안구,배,80.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 안양시 동안구,감자,75.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 안양시 동안구,상추,70.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 용인시 처인구,오이,78.0,['EC']
경기도 용인시 처인구,배,92.0,['EC']
경기도 용인시 처인구,감자,89.0,['EC']
경기도 용인시 처인구,상추,84.0,['EC']
경기도 용인시 기흥구,오이,78.0,['EC']
경기도 용인시 기흥구,배,92.0,['EC']
경기도 용인시 기흥구,감자,89.0,['EC']
경기도 용인시 기흥구,상추,84.0,['EC']
경기도 용인시 수지구,오이,65.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 용인시 수지구,배,92.0,['EC']
경기도 용인시 수지구,감자,89.0,['EC']
경기도 용인시 수지구,상추,84.0,['EC']
경상남도 창원시 의창구,오이,78.0,['EC']
경상남도 창원시 의창구,배,92.0,['EC']
경상남도 창원시 의창구,감자,89.0,['EC']
경상남도 창원시 의창구,상추,84.0,['EC']
경상남도 창원시 성산구,오이,78.0,['EC']
경상남도 창원시 성산구,배,92.0,['EC']
경상남도 창원시 성산구,감자,89.0,['EC']
경상남도 창원시 성산구,상추,84.0,['EC']
경상남도 창원시 마산합포구,오이,78.0,['EC']
경상남도 창원시 마산합포구,배,92.0,['EC']
경상남도 창원시 마산합포구,감자,89.0,['EC']
경상남도 창원시 마산합포구,상추,84.0,['EC']
경상남도 창원시 마산회원구,오이,69.0,"['EC', 'pH', '유기물']"
경상남도 창원시 마산회원구,배,92.0,['EC']
경상남도 창원시 마산회원구,감자,89.0,['EC']
경상남도 창원시 마산회원구,상추,84.0,['EC']
경상남도 창원시 진해구,오이,69.0,"['EC', 'pH', '유기물']"
경상남도 창원시 진해구,배,92.0,['EC']
경상남도 창원시 진해구,감자,89.0,['EC']
경상남도 창원시 진해구,상추,84.0,['EC']
경상북도 포항시 남구,오이,78.0,['EC']
경상북도 포항시 남구,배,92.0,['EC']
경상북도 포항시 남구,감자,89.0,['EC']
경상북도 포항시 남구,상추,84.0,['EC']
경상북도 포항시 북구,오이,78.0,['EC']
경상북도 포항시 북구,배,92.0,['EC']
경상북도 포항시 북구,감자,89.0,['EC']
경상북도 포항시 북구,상추,84.0,['EC']
전라북도 전주시 완산구,오이,78.0,['EC']
전라북도 전주시 완산구,배,92.0,['EC']
전라북도 전주시 완산구,감자,89.0,['EC']
전라북도 전주시 완산구,상추,84.0,['EC']
전라북도 전주시 덕진구,오이,78.0,['EC']
전라북도 전주시 덕진구,배,92.0,['EC']
전라북도 전주시 덕진구,감자,89.0,['EC']
전라북도 전주시 덕진구,상추,84.0,['EC']
충청남도 천안시 동남구,오이,78.0,['EC']
충청남도 천안시 동남구,배,92.0,['EC']
충청남도 천안시 동남구,감자,89.0,['EC']
충청남도 천안시 동남구,상추,84.0,['EC']
충청남도 천안시 서북구,오이,78.0,['EC']
충청남도 천안시 서북구,배,92.0,['EC']
충청남도 천안시 서북구,감자,89.0,['EC']
충청남도 천안시 서북구,상추,84.0,['EC']
충청북도 청주시 상당구,오이,78.0,['EC']
충청북도 청주시 상당구,배,92.0,['EC']
충청북도 청주시 상당구,감자,89.0,['EC']
충청북도 청주시 상당구,상추,84.0,['EC']
충청북도 청주시 서원구,오이,78.0,['EC']
충청북도 청주시 서원구,배,92.0,['EC']
충청북도 청주시 서원구,감자,89.0,['EC']
충청북도 청주시 서원구,상추,84.0,['EC']
충청북도 청주시 흥덕구,오이,78.0,['EC']
충청북도 청주시 흥덕구,배,92.0,['EC']
충청북도 청주시 흥덕구,감자,89.0,['EC']
충청북도 청주시 흥덕구,상추,84.0,['EC']
충청북도 청주시 청원구,오이,78.0,['EC']
충청북도 청주시 청원구,배,92.0,['EC']
충청북도 청주시 청원구,감자,89.0,['EC']
충청북도 청주시 청원구,상추,84.0,['EC']
서울특별시 종로구,오이,69.0,"['EC', 'pH', '유기물']"
서울특별시 종로구,배,80.0,"['EC', 'pH', '유기물', '유효인산']"
서울특별시 종로구,감자,89.0,['EC']
서울특별시 종로구,상추,84.0,['EC']
서울특별시 중구,오이,75.0,"['유기물', 'EC']"
서울특별시 중구,배,92.0,['EC']
서울특별시 중구,감자,89.0,['EC']
서울특별시 중구,상추,84.0,['EC']
서울특별시 용산구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 용산구,배,88.0,"['유효인산', 'EC']"
서울특별시 용산구,감자,89.0,['EC']
서울특별시 용산구,상추,84.0,['EC']
서울특별시 성동구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 성동구,배,92.0,['EC']
서울특별시 성동구,감자,100.0,[]
서울특별시 성동구,상추,84.0,['EC']
서울특별시 광진구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 광진구,배,88.0,"['유효인산', 'EC']"
서울특별시 광진구,감자,89.0,['EC']
서울특별시 광진구,상추,84.0,['EC']
서울특별시 동대문구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 동대문구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 동대문구,감자,89.0,['EC']
서울특별시 동대문구,상추,84.0,['EC']
서울특별시 중랑구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 중랑구,배,100.0,[]
서울특별시 중랑구,감자,100.0,[]
서울특별시 중랑구,상추,100.0,[]
서울특별시 성북구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 성북구,배,92.0,['EC']
서울특별시 성북구,감자,89.0,['EC']
서울특별시 성북구,상추,84.0,['EC']
서울특별시 강북구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 강북구,배,85.0,"['유기물', '유효인산', 'EC']"
서울특별시 강북구,감자,89.0,['EC']
서울특별시 강북구,상추,84.0,['EC']
서울특별시 도봉구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 도봉구,배,92.0,['EC']
서울특별시 도봉구,감자,89.0,['EC']
서울특별시 도봉구,상추,84.0,['EC']
서울특별시 노원구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 노원구,배,92.0,['EC']
서울특별시 노원구,감자,100.0,[]
서울특별시 노원구,상추,100.0,[]
서울특별시 은평구,오이,87.0,"['pH', '유기물', '유효인산']"
서울특별시 은평구,배,92.0,['EC']
서울특별시 은평구,감자,89.0,['EC']
서울특별시 은평구,상추,84.0,['EC']
서울특별시 서대문구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 서대문구,배,92.0,['EC']
서울특별시 서대문구,감자,89.0,['EC']
서울특별시 서대문구,상추,84.0,['EC']
서울특별시 마포구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 마포구,배,92.0,['EC']
서울특별시 마포구,감자,89.0,['EC']
서울특별시 마포구,상추,84.0,['EC']
서울특별시 양천구,오이,72.0,"['pH', 'EC']"
서울특별시 양천구,배,92.0,['EC']
서울특별시 양천구,감자,89.0,['EC']
서울특별시 양천구,상추,84.0,['EC']
서울특별시 강서구,오이,78.0,['EC']
서울특별시 강서구,배,92.0,['EC']
서울특별시 강서구,감자,89.0,['EC']
서울특별시 강서구,상추,84.0,['EC']
서울특별시 구로구,오이,78.0,['EC']
서울특별시 구로구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 구로구,감자,100.0,[]
서울특별시 구로구,상추,100.0,[]
서울특별시 금천구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 금천구,배,92.0,['EC']
서울특별시 금천구,감자,89.0,['EC']
서울특별시 금천구,상추,84.0,['EC']
서울특별시 영등포구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
서울특별시 영등포구,배,92.0,['EC']
서울특별시 영등포구,감자,89.0,['EC']
서울특별시 영등포구,상추,84.0,['EC']
서울특별시 동작구,오이,87.0,"['pH', '유기물', '유효인산']"
서울특별시 동작구,배,100.0,[]
서울특별시 동작구,감자,89.0,['EC']
서울특별시 동작구,상추,84.0,['EC']
서울특별시 관악구,오이,78.0,['EC']
서울특별시 관악구,배,88.0,"['유효인산', 'EC']"
서울특별시 관악구,감자,89.0,['EC']
서울특별시 관악구,상추,84.0,['EC']
서울특별시 서초구,오이,78.0,['EC']
서울특별시 서초구,배,92.0,['EC']
서울특별시 서초구,감자,89.0,['EC']
서울특별시 서초구,상추,84.0,['EC']
서울특별시 강남구,오이,100.0,[]
서울특별시 강남구,배,100.0,[]
서울특별시 강남구,감자,100.0,[]
서울특별시 강남구,상추,100.0,[]
서울특별시 송파구,오이,78.0,['EC']
서울특별시 송파구,배,92.0,['EC']
서울특별시 송파구,감자,89.0,['EC']
서울특별시 송파구,상추,84.0,['EC']
서울특별시 강동구,오이,78.0,['EC']
서울특별시 강동구,배,92.0,['EC']
서울특별시 강동구,감자,89.0,['EC']
서울특별시 강동구,상추,84.0,['EC']
부산광역시 해운대구,오이,78.0,['EC']
부산광역시 해운대구,배,92.0,['EC']
부산광역시 해운대구,감자,89.0,['EC']
부산광역시 해운대구,상추,84.0,['EC']
부산광역시 중구,오이,52.0,"['강수', '일조', 'pH', '유기물', '유효인산']"
부산광역시 중구,배,88.0,"['pH', '유기물', '유효인산']"
부산광역시 중구,감자,86.0,"['pH', '유기물', '유효인산']"
부산광역시 중구,상추,86.0,"['pH', '유기물', '유효인산']"
부산광역시 서구,오이,52.0,"['강수', '일조', 'pH', '유기물', '유효인산']"
부산광역시 서구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
부산광역시 서구,감자,89.0,['EC']
부산광역시 서구,상추,84.0,['EC']
부산광역시 동구,오이,30.0,"['강수', '일조', 'pH', '유기물', '유효인산', 'EC']"
부산광역시 동구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
부산광역시 동구,감자,75.0,"['pH', '유기물', '유효인산', 'EC']"
부산광역시 동구,상추,70.0,"['pH', '유기물', '유효인산', 'EC']"
부산광역시 영도구,오이,30.0,"['강수', '일조', 'pH', '유기물', '유효인산', 'EC']"
부산광역시 영도구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
부산광역시 영도구,감자,89.0,['EC']
부산광역시 영도구,상추,84.0,['EC']
부산광역시 부산진구,오이,30.0,"['강수', '일조', 'pH', '유기물', '유효인산', 'EC']"
부산광역시 부산진구,배,88.0,"['유효인산', 'EC']"
부산광역시 부산진구,감자,89.0,['EC']
부산광역시 부산진구,상추,100.0,[]
부산광역시 동래구,오이,30.0,"['강수', '일조', 'pH', '유기물', '유효인산', 'EC']"
부산광역시 동래구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
부산광역시 동래구,감자,89.0,['EC']
부산광역시 동래구,상추,84.0,['EC']
부산광역시 남구,오이,30.0,"['강수', '일조', 'pH', '유기물', '유효인산', 'EC']"
부산광역시 남구,배,92.0,['EC']
부산광역시 남구,감자,89.0,['EC']
부산광역시 남구,상추,84.0,['EC']
부산광역시 북구,오이,30.0,"['강수', '일조', 'pH', '유기물', '유효인산', 'EC']"
부산광역시 북구,배,89.0,"['유기물', 'EC']"
부산광역시 북구,감자,89.0,['EC']
부산광역시 북구,상추,84.0,['EC']
부산광역시 사하구,오이,43.0,"['강수', '일조', 'EC']"
부산광역시 사하구,배,88.0,"['pH', '유기물', '유효인산']"
부산광역시 사하구,감자,100.0,[]
부산광역시 사하구,상추,84.0,['EC']
부산광역시 금정구,오이,52.0,"['강수', '일조', 'pH', '유기물', '유효인산']"
부산광역시 금정구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
부산광역시 금정구,감자,89.0,['EC']
부산광역시 금정구,상추,84.0,['EC']
부산광역시 강서구,오이,43.0,"['강수', '일조', 'EC']"
부산광역시 강서구,배,92.0,['EC']
부산광역시 강서구,감자,89.0,['EC']
부산광역시 강서구,상추,81.0,"['유효인산', 'EC']"
부산광역시 연제구,오이,52.0,"['강수', '일조', 'pH', '유기물', '유효인산']"
부산광역시 연제구,배,48.0,"['온도', 'pH', '유기물', '유효인산']"
부산광역시 연제구,감자,93.0,"['유기물', '유효인산']"
부산광역시 연제구,상추,94.0,"['유기물', '유효인산']"
부산광역시 수영구,오이,52.0,"['강수', '일조', 'pH', '유기물', '유효인산']"
부산광역시 수영구,배,88.0,"['pH', '유기물', '유효인산']"
부산광역시 수영구,감자,100.0,[]
부산광역시 수영구,상추,100.0,[]
부산광역시 사상구,오이,43.0,"['강수', '일조', 'EC']"
부산광역시 사상구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
부산광역시 사상구,감자,89.0,['EC']
부산광역시 사상구,상추,84.0,['EC']
부산광역시 기장군,오이,43.0,"['강수', '일조', 'EC']"
부산광역시 기장군,배,92.0,['EC']
부산광역시 기장군,감자,89.0,['EC']
부산광역시 기장군,상추,84.0,['EC']
대구광역시 중구,오이,65.0,"['EC', 'pH', '유기물', '유효인산']"
대구광역시 중구,배,80.0,"['EC', 'pH', '유기물', '유효인산']"
대구광역시 중구,감자,89.0,['EC']
대구광역시 중구,상추,84.0,['EC']
대구광역시 동구,오이,43.0,"['강수', '일조', 'EC']"
대구광역시 동구,배,100.0,[]
대구광역시 동구,감자,89.0,['EC']
대구광역시 동구,상추,84.0,['EC']
대구광역시 서구,오이,30.0,"['강수', '일조', 'pH', '유기물', '유효인산', 'EC']"
대구광역시 서구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
대구광역시 서구,감자,75.0,"['pH', '유기물', '유효인산', 'EC']"
대구광역시 서구,상추,70.0,"['pH', '유기물', '유효인산', 'EC']"
대구광역시 남구,오이,30.0,"['강수', '일조', 'pH', '유기물', '유효인산', 'EC']"
대구광역시 남구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
대구광역시 남구,감자,75.0,"['pH', '유기물', '유효인산', 'EC']"
대구광역시 남구,상추,70.0,"['pH', '유기물', '유효인산', 'EC']"
대구광역시 북구,오이,43.0,"['강수', '일조', 'EC']"
대구광역시 북구,배,100.0,[]
대구광역시 북구,감자,89.0,['EC']
대구광역시 북구,상추,100.0,[]
대구광역시 수성구,오이,43.0,"['강수', '일조', 'EC']"
대구광역시 수성구,배,92.0,['EC']
대구광역시 수성구,감자,89.0,['EC']
대구광역시 수성구,상추,84.0,['EC']
대구광역시 달서구,오이,43.0,"['강수', '일조', 'EC']"
대구광역시 달서구,배,92.0,['EC']
대구광역시 달서구,감자,89.0,['EC']
대구광역시 달서구,상추,84.0,['EC']
대구광역시 달성군,오이,43.0,"['강수', '일조', 'EC']"
대구광역시 달성군,배,100.0,[]
대구광역시 달성군,감자,100.0,[]
대구광역시 달성군,상추,100.0,[]
대구광역시 군위군,오이,43.0,"['강수', '일조', 'EC']"
대구광역시 군위군,배,92.0,['EC']
대구광역시 군위군,감자,89.0,['EC']
대구광역시 군위군,상추,84.0,['EC']
인천광역시 연수구,오이,78.0,['EC']
인천광역시 연수구,배,80.0,"['EC', 'pH', '유기물', '유효인산']"
인천광역시 연수구,감자,89.0,['EC']
인천광역시 연수구,상추,84.0,['EC']
인천광역시 중구,오이,78.0,['EC']
인천광역시 중구,배,92.0,['EC']
인천광역시 중구,감자,89.0,['EC']
인천광역시 중구,상추,84.0,['EC']
인천광역시 동구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
인천광역시 동구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
인천광역시 동구,감자,86.0,"['유기물', 'EC']"
인천광역시 동구,상추,81.0,"['유기물', 'EC']"
인천광역시 미추홀구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
인천광역시 미추홀구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
인천광역시 미추홀구,감자,89.0,['EC']
인천광역시 미추홀구,상추,84.0,['EC']
인천광역시 남동구,오이,100.0,[]
인천광역시 남동구,배,100.0,[]
인천광역시 남동구,감자,89.0,['EC']
인천광역시 남동구,상추,84.0,['EC']
인천광역시 부평구,오이,65.0,"['pH', '유기물', '유효인산', 'EC']"
인천광역시 부평구,배,80.0,"['pH', '유기물', '유효인산', 'EC']"
인천광역시 부평구,감자,89.0,['EC']
인천광역시 부평구,상추,84.0,['EC']
인천광역시 계양구,오이,78.0,['EC']
인천광역시 계양구,배,92.0,['EC']
인천광역시 계양구,감자,89.0,['EC']
인천광역시 계양구,상추,100.0,[]
인천광역시 서구,오이,100.0,[]
인천광역시 서구,배,100.0,[]
인천광역시 서구,감자,100.0,[]
인천광역시 서구,상추,100.0,[]
인천광역시 강화군,오이,78.0,['EC']
인천광역시 강화군,배,92.0,['EC']
인천광역시 강화군,감자,89.0,['EC']
인천광역시 강화군,상추,84.0,['EC']
인천광역시 옹진군,오이,78.0,['EC']
인천광역시 옹진군,배,92.0,['EC']
인천광역시 옹진군,감자,89.0,['EC']
인천광역시 옹진군,상추,84.0,['EC']
광주광역시 서구,오이,78.0,['EC']
광주광역시 서구,배,92.0,['EC']
광주광역시 서구,감자,89.0,['EC']
광주광역시 서구,상추,84.0,['EC']
광주광역시 동구,오이,30.0,"['강수', '일조', 'pH', '유기물', '유효인산', 'EC']"
광주광역시 동구,배,88.0,"['pH', '유기물', '유효인산']"
광주광역시 동구,감자,100.0,[]
광주광역시 동구,상추,84.0,['EC']
광주광역시 남구,오이,43.0,"['강수', '일조', 'EC']"
광주광역시 남구,배,92.0,['EC']
광주광역시 남구,감자,89.0,['EC']
광주광역시 남구,상추,84.0,['EC']
광주광역시 북구,오이,43.0,"['강수', '일조', 'EC']"
광주광역시 북구,배,92.0,['EC']
광주광역시 북구,감자,89.0,['EC']
광주광역시 북구,상추,84.0,['EC']
광주광역시 광산구,오이,65.0,"['강수', '일조']"
광주광역시 광산구,배,100.0,[]
광주광역시 광산구,감자,89.0,['EC']
광주광역시 광산구,상추,84.0,['EC']
대전광역시 유성구,오이,78.0,['EC']
대전광역시 유성구,배,92.0,['EC']
대전광역시 유성구,감자,89.0,['EC']
대전광역시 유성구,상추,84.0,['EC']
대전광역시 동구,오이,78.0,['EC']
대전광역시 동구,배,92.0,['EC']
대전광역시 동구,감자,89.0,['EC']
대전광역시 동구,상추,84.0,['EC']
대전광역시 중구,오이,78.0,['EC']
대전광역시 중구,배,92.0,['EC']
대전광역시 중구,감자,100.0,[]
대전광역시 중구,상추,100.0,[]
대전광역시 서구,오이,78.0,['EC']
대전광역시 서구,배,92.0,['EC']
대전광역시 서구,감자,89.0,['EC']
대전광역시 서구,상추,84.0,['EC']
대전광역시 대덕구,오이,78.0,['EC']
대전광역시 대덕구,배,92.0,['EC']
대전광역시 대덕구,감자,89.0,['EC']
대전광역시 대덕구,상추,84.0,['EC']
울산광역시 남구,오이,78.0,['EC']
울산광역시 남구,배,92.0,['EC']
울산광역시 남구,감자,89.0,['EC']
울산광역시 남구,상추,84.0,['EC']
울산광역시 중구,오이,43.0,"['강수', '일조', 'EC']"
울산광역시 중구,배,100.0,[]
울산광역시 중구,감자,89.0,['EC']
울산광역시 중구,상추,84.0,['EC']
울산광역시 동구,오이,30.0,"['강수', '일조', 'pH', '유기물', '유효인산', 'EC']"
울산광역시 동구,배,83.0,"['pH', '유효인산', 'EC']"
울산광역시 동구,감자,79.0,"['pH', '유기물', 'EC']"
울산광역시 동구,상추,73.0,"['pH', '유기물', 'EC']"
울산광역시 북구,오이,43.0,"['강수', '일조', 'EC']"
울산광역시 북구,배,92.0,['EC']
울산광역시 북구,감자,89.0,['EC']
울산광역시 북구,상추,84.0,['EC']
울산광역시 울주군,오이,43.0,"['강수', '일조', 'EC']"
울산광역시 울주군,배,100.0,[]
울산광역시 울주군,감자,100.0,[]
울산광역시 울주군,상추,84.0,['EC']
세종특별자치시,오이,78.0,['EC']
세종특별자치시,배,92.0,['EC']
세종특별자치시,감자,89.0,['EC']
세종특별자치시,상추,84.0,['EC']
경기도 파주시,오이,65.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 파주시,배,80.0,"['EC', 'pH', '유기물', '유효인산']"
경기도 파주시,감자,89.0,['EC']
경기도 파주시,상추,84.0,['EC']
강원도 춘천시,오이,78.0,['EC']
강원도 춘천시,배,92.0,['EC']
강원도 춘천시,감자,89.0,['EC']
강원도 춘천시,상추,84.0,['EC']
강원도 원주시,오이,78.0,['EC']
강원도 원주시,배,92.0,['EC']
강원도 원주시,감자,89.0,['EC']
강원도 원주시,상추,84.0,['EC']
충청북도 충주시,오이,78.0,['EC']
충청북도 충주시,배,92.0,['EC']
충청북도 충주시,감자,89.0,['EC']
충청북도 충주시,상추,84.0,['EC']
충청남도 논산시,오이,78.0,['EC']
충청남도 논산시,배,92.0,['EC']
충청남도 논산시,감자,89.0,['EC']
충청남도 논산시,상추,84.0,['EC']
전라북도 군산시,오이,78.0,['EC']
전라북도 군산시,배,92.0,['EC']
전라북도 군산시,감자,89.0,['EC']
전라북도 군산시,상추,84.0,['EC']
전라남도 목포시,오이,65.0,"['EC', 'pH', '유기물', '유효인산']"
전라남도 목포시,배,80.0,"['EC', 'pH', '유기물', '유효인산']"
전라남도 목포시,감자,89.0,['EC']
전라남도 목포시,상추,84.0,['EC']
전라남도 여수시,오이,78.0,['EC']
전라남도 여수시,배,92.0,['EC']
전라남도 여수시,감자,89.0,['EC']
전라남도 여수시,상추,84.0,['EC']
경상북도 안동시,오이,78.0,['EC']
경상북도 안동시,배,92.0,['EC']
경상북도 안동시,감자,89.0,['EC']
경상북도 안동시,상추,84.0,['EC']
경상남도 진주시,오이,78.0,['EC']
경상남도 진주시,배,92.0,['EC']
경상남도 진주시,감자,89.0,['EC']
경상남도 진주시,상추,84.0,['EC']
제주특별자치도 제주시,오이,78.0,['EC']
제주특별자치도 제주시,배,92.0,['EC']
제주특별자치도 제주시,감자,89.0,['EC']
제주특별자치도 제주시,상추,84.0,['EC']
제주특별자치도 서귀포시,오이,78.0,['EC']
제주특별자치도 서귀포시,배,92.0,['EC']
제주특별자치도 서귀포시,감자,89.0,['EC']
제주특별자치도 서귀포시,상추,84.0,['EC']
